"SUID","__glayCluster","Acession number","Altitude","any other important information","any other important information.1","any other important information.2","AverageShortestPathLength","Awn Colour","Awn Type","BetweennessCentrality","Biological status","Breeder","ClosenessCentrality","ClusteringCoefficient","Collection site","continent","Country of origin","Degree","Eccentricity","Genome","Glume Colour","Glume surface","Grain Colour","group","Growth habit","Harvest year","IsSingleNode","Kilian/IPK sowing no. 2010","Kilian/IPK sowing no. 2011","Kilian/IPK sowing no. 2012","Latitude","Location of multiplication","Longitude","name","NeighborhoodConnectivity","No.","NumberOfDirectedEdges","NumberOfUndirectedEdges","Other number","Parental line","PartnerOfMultiEdgedNodePairs","Pedigree","Plant","Population","Radiality","Replication","Seed source","selected","SelfLoops","shared name","SMTA related info","Source genebank","Stress","subgenomeA","subgenomeB","subgenomeD","taxon","TaxonCluster","Taxonomy","Taxonomy1","Taxonomy2","TopologicalCoefficient","Variety/Genotype","Wax","wordcloud.sync","Year listed / recommended / Acquisition year / released / collected"
"551","5","TR 94 TP078-1",,"0","","SSD","3.85185185","","","9.0996E-4","wild","","0.25961538","0.71794872","26.3 km NE from Mardin to Midyat","Asia","Turkey","13","6","GA","","","","tetraploid","na","2009.0","false","","2738.0","2738.0","","IPK nurseries","","Triticum_araraticum.WW-235","10.30769231","","13","0","","","0","","1","wheat wild relatives and neglected","0.68312757","","Kilian","false","0","WW-235","","","20828","true","false","false","Triticum_araraticum",,"Triticum","araraticum Jakubz.","subsp. kurdistanicum Dorof. et Migusch.","0.54251012","","","false","na"
"550","5","ID 393 EP048-1",,"URA","","SSD","3.88888889","","","0.0","wild","","0.25714286","1.0","IRN, Bakhtaran, 6 km S Shahabad","Asia","Iran","2","6","Au","","","","diploid","na","2011.0","false","","1308.0","1308.0","","""IPK """"little field""""""","","Triticum_urartu.WW-250","9.0","","2","0","","","0","","3","wheat wild relatives and neglected","0.67901235","","Kilian","false","0","WW-250","","","0","true","false","false","Triticum_urartu",,"Triticum","urartu Thum. ex Gandil.","","0.5625","","","false","na"
"549","5","TRI 7258",,"","","SSD","3.85596708","","","0.02040643","landrace","","0.25933831","0.71428571","","Europe","Georgia","7","6","GAA","","","","na","na","2011.0","false","","220.0","220.0","","""IPK """"little field""""""","","Triticum_zhukovskyi.WW-242","11.57142857","","7","0","","","0","","1","wheat wild relatives and neglected","0.68267032","","Kilian","false","0","WW-242","","","145348","true","false","false","Triticum_zhukovskyi",,"Triticum","zhukovskyi","A.M.Menabde & Eritzjan","0.54421769","","","false","na"
"548","5","TR 95 TP080-1",,"0","","SSD","3.86625514","","","8.1152E-4","wild","","0.25864822","0.81818182","17.3 km E from Silvan to Bitlis","Asia","Turkey","11","6","GA","","","","tetraploid","na","2009.0","false","","2740.0","2740.0","","IPK nurseries","","Triticum_araraticum.WW-236","11.09090909","","11","0","","","0","","1","wheat wild relatives and neglected","0.68152721","","Kilian","false","0","WW-236","","","20706","true","false","false","Triticum_araraticum",,"Triticum","araraticum Jakubz.","subsp. kurdistanicum Dorof. et Migusch.","0.61616162","","","false","na"
"547","5","TR 106 TP041-TP045",,"","","SSD","2.89711934","","","0.03510034","landrace","","0.34517045","0.6043956","USSR","Asia","SUN","14","5","GA","","","","tetraploid","na","2011.0","false","","2489.0","2489.0","","""IPK """"little field""""""","","Triticum_timopheevii.WW-256","11.64285714","","14","0","","","0","","1","wheat wild relatives and neglected","0.78920896","","Kilian","false","0","WW-256","","","233300","true","false","false","Triticum_timopheevii",,"Triticum","timopheevii (Zhuk.) Zhuk.","","0.24255952","","","false","na"
"546","4","",,"Selected RIL, seeds for trails will be sent next year","","","2.89506173","","","0.01241124","na","","0.34541578","0.35714286","","Asia","Israel","10","6","BA","","","","tetraploid","na",,"false","",,,"","","","Triticum_turgidum.WW-180","17.75","","10","0","","","2","",,"F7 RIL (Langdon x G18-16)","0.78943759","","Saranga/Fahima","false","0","WW-180","","","96986","true","true","false","Triticum_turgidum",,"Triticum","turgidum","","0.28629032","LxG #12","","false","na"
"545","5","ID 388 EP047-1",,"URA","","SSD","2.89300412","","","0.04434045","wild","","0.34566145","0.45833333","Lebanon, Talia, El-Beqaa valley","Asia","Lebanon","16","5","Au","","","","diploid","na","2012.0","false","","1307.0","1307.0","","""IPK """"little field""""""","","Triticum_urartu.WW-249","10.875","","16","0","","","0","","2","wheat wild relatives and neglected","0.78966621","","Kilian","false","0","WW-249","","","274278","true","false","false","Triticum_urartu",,"Triticum","urartu Thum. ex Gandil.","","0.2265625","","","false","na"
"544","6","TRI 10324",,"","","SSD","4.05967078","","","0.0","landrace","","0.24632539","0.0","Mittelslowakei","Europe","SVK","2","8","BA","","","","tetraploid","na","2010.0","false","417","404.0","404.0","","Börner greenhouse","","Triticum_dicoccon.WW-266","2.0","","2","0","","","1","",,"wheat wild relatives and neglected","0.66003658","","Kilian","false","0","WW-266","","IPK","0","true","true","false","Triticum_dicoccon",,"Triticum","dicoccon Schrank","subsp. asiaticum Vav.","0.0","","","false","na"
"543","6","PI 41025",,"","","SSD","3.0617284","","","0.00411523","landrace","","0.3266129","0.0","Samara","Asia","Russian Federation","4","7","BA","","","","tetraploid","na","2011.0","false","","487.0","487.0","","""IPK """"little field""""""","","Triticum_dicoccon.WW-244","8.5","","4","0","","","2","","2","wheat wild relatives and neglected","0.77091907","","Kilian","false","0","WW-244","","","5304","true","true","false","Triticum_dicoccon",,"Triticum","dicoccon Schrank","subsp. asiaticum Vav.","0.5","","","false","na"
"542","2","PI 470739",,"","","SSD","3.06584362","","","0.0","landrace","","0.3261745","0.0","Kars","Asia","Turkey","2","7","BA","","","","tetraploid","na","2011.0","false","","640.0","640.0","","""IPK """"little field""""""","","Triticum_dicoccon.WW-268","16.0","","2","0","","","1","","1","wheat wild relatives and neglected","0.77046182","","Kilian","false","0","WW-268","","","0","true","true","false","Triticum_dicoccon",,"Triticum","dicoccon Schrank","subsp. asiaticum Vav.","0.0","","","false","na"
