Whealbi serial number	Taxonomy	Taxonomy	Taxonomy	Variety/Genotype	Acession number	Genome	Country of origin	Collection site	Altitude	Latitude	Longitude	Growth habit	Biological status	Year listed / recommended; acquisition year; released	Pedigree	Population	Seed source	Source genebank	Breeder
WW-004	Triticum	aestivum		ZEPHYR		BAD	France					Winter	Current variety				KWS		Momont
WW-005	Triticum	aestivum		FORZOR		BAD	France					Winter	Current variety				KWS		Momont
WW-006	Triticum	aestivum		TOSKANI		BAD	France					Winter	Current variety				KWS		Momont
WW-007	Triticum	aestivum		LITHIUM		BAD	France					Winter	Current variety				KWS		Momont
WW-008	Triticum	aestivum		MODERN		BAD	France					Winter	Current variety				KWS		Momont
WW-009	Triticum	aestivum		KWS Dacanto		BAD	Germany					Winter	Current variety				KWS		KWS Lochow
WW-010	Triticum	aestivum		KWS Ferrum		BAD	Germany					Winter	Current variety	2012			KWS		KWS Lochow
WW-011	Triticum	aestivum		Julius		BAD	Germany					Winter	Current variety	2008			KWS		KWS Lochow
WW-012	Triticum	aestivum		Dekan		BAD	Germany					Winter	Current variety	1999			KWS		KWS Lochow
WW-013	Triticum	aestivum		KWS Magic		BAD	Germany					Winter	Current variety				KWS		KWS Lochow
WW-014	Triticum	aestivum		KWS Milaneco		BAD	Germany					Winter	Current variety				KWS		KWS Lochow
WW-015	Triticum	aestivum		KWS Jonatan		BAD	Germany					Winter	Current variety				KWS		KWS Lochow
WW-016	Triticum	aestivum		Taifun		BAD	Germany					Spring	Current variety	2003			KWS		KWS Lochow
WW-017	Triticum	aestivum		KWS Scirocco		BAD	Germany					Spring	Current variety	2008			KWS		KWS Lochow
WW-018	Triticum	aestivum		KWS Chamsin		BAD	Germany					Spring	Current variety	2008			KWS		KWS Lochow
WW-019	Triticum	aestivum		Bologna		BAD	Italy					Winter	Current variety	2002			SIS		CCBENOIST (now Syngenta)
WW-020	Triticum	aestivum		Palesio		BAD	Italy					Facultative	Current variety	2000			SIS		SIS
WW-021	Triticum	aestivum		Tiepolo		BAD	Italy					Winter	Current variety	2009			SIS		CCB/SIS
WW-022	Triticum	aestivum		Altamira		BAD	Italy					Facultative	Current variety	2009			SIS		LIMAGRAIN
WW-023	Triticum	aestivum		MV-TOBORZO		BAD	Hungary					Winter	Current variety	2003			Martonvasar		Martonvasar
WW-024	Triticum	aestivum		MV-KARIZMA		BAD	Hungary					Facultative	Current variety	2009			Martonvasar		Martonvasar
WW-025	Triticum	aestivum		MV-SUBA		BAD	Hungary					Winter	Current variety	2002			Martonvasar		Martonvasar
WW-026	Triticum	aestivum		MV-KOLO		BAD	Hungary					Winter	Current variety	2006			Martonvasar		Martonvasar
WW-027	Triticum	aestivum		MV-MAGDALENA		BAD	Hungary					Winter	Current variety	1996			Martonvasar		Martonvasar
WW-028	Triticum	aestivum		Martonvásári 9kr1 (MV9KR1)		BAD	Hungary					Winter	Parental material, not a cultivar	1996	cross between Matonvasari 9 and Chinese Spring		Martonvasar		Martonvasar
WW-029	Triticum	aestivum		ASAKAZE-KOMUGI		BAD	Japan					Facultative	Parental material	1978	cross between 'Saikai 115' (Hiyokukomugi) and 'Saikai 120' (Shiroganekomugi)		Martonvasar		National Kyushu Agricultural Research Center (present, NARO Kyushu Okinawa Agricultural Research Center)
WW-030	Triticum	aestivum		KWS Satiago		BAD	United Kingdom					Winter	Current variety	2011					KWS UK
WW-031	Triticum	aestivum		KWS Croft		BAD	United Kingdom					Winter	Current variety	2013					KWS UK
WW-032	Triticum	aestivum		Conqueror		BAD	United Kingdom					Winter	Current variety	2010					KWS UK
WW-033	Triticum	aestivum		Cordiale		BAD	United Kingdom					Winter	Current variety	2004					KWS UK
WW-034	Triticum	aestivum		KWS Willow		BAD	United Kingdom					Spring	Current variety	2011					KWS UK
WW-035	Triticum	aestivum		Granary		BAD	United Kingdom					Spring	Current variety	2009					KWS UK
WW-036	Triticum	aestivum		Actros 		BAD	DE/DK					Winter		2005		GABI WHEAT			BertholdBauer
WW-037	Triticum	aestivum		Aguila		BAD	France					Winter		2005		GABI WHEAT			Secobra
WW-038	Triticum	aestivum		Akratos               		BAD	Germany					Winter		2004		GABI WHEAT			Strube                                 
WW-039	Triticum	aestivum		Akteur                 		BAD	DE/CZ/PL					Winter		2003		GABI WHEAT			Dt. Saatveredelung 
WW-040	Triticum	aestivum		Alcazar                 		BAD	F/PL					Winter		2004		GABI WHEAT			Secobra                               
WW-041	Triticum	aestivum		Aldric                    		BAD	France					Winter		2007		GABI WHEAT			Desprez                              
WW-042	Triticum	aestivum		Global  		BAD	Germany					Winter		2009		GABI WHEAT			RAGT
WW-043	Triticum	aestivum		Inspiration         		BAD	DE/F/DK					Winter		2007		GABI WHEAT			Breun                                   
WW-044	Triticum	aestivum		Kalahari               		BAD	DE/F/DK					Winter		2010		GABI WHEAT			Limagrain                            
WW-045	Triticum	aestivum		Orcas                    		BAD	Germany					Winter		2010		GABI WHEAT			Secobra                               
WW-046	Triticum	aestivum		Phare                   		BAD	France					Winter		2007		GABI WHEAT			Desprez                              
WW-047	Triticum	aestivum		Rimbaud             		BAD	France					Winter		2009		GABI WHEAT			Secobra                               
WW-048	Triticum	aestivum		ALCHEMY		BAD	United Kingdom					Winter		2006		NIAB MAGIC			Limagrain                            
WW-049	Triticum	aestivum		BROMPTON		BAD	United Kingdom					Winter		2005		NIAB MAGIC			Elsoms
WW-050	Triticum	aestivum		CLAIRE		BAD	United Kingdom					Winter		1999		NIAB MAGIC			Limagrain                            
WW-051	Triticum	aestivum		HEREWARD		BAD	United Kingdom					Winter		1991		NIAB MAGIC			RAGT
WW-052	Triticum	aestivum		RIALTO		BAD	United Kingdom					Winter		1992		NIAB MAGIC			RAGT
WW-053	Triticum	aestivum		ROBIGUS		BAD	United Kingdom					Winter		2003		NIAB MAGIC			KWS
WW-054	Triticum	aestivum		SOISSONS		BAD	France					Winter		1995		NIAB MAGIC			Desprez                              
WW-055	Triticum	aestivum		XI-19		BAD	United Kingdom					Facultative		2002		NIAB MAGIC			Nickersons
WW-056	Triticum	aestivum		WELFORD		BAD	United Kingdom					Winter		2004		TriticeaeGenome			
WW-057	Triticum	aestivum		CHANCELIER		BAD	France									TriticeaeGenome			
WW-058	Triticum	aestivum		AMI		BAD	France									TriticeaeGenome			
WW-059	Triticum	aestivum		SHAMROCK		BAD	United Kingdom					Winter		1997		TriticeaeGenome			
WW-060	Triticum	aestivum		KALTOP		BAD	Germany									TriticeaeGenome			
WW-061	Triticum	aestivum		PAUILLAC		BAD	France									TriticeaeGenome			
WW-062	Triticum	aestivum		QUEBON		BAD	France									TriticeaeGenome			
WW-063	Triticum	aestivum		METEOR		BAD	Germany									TriticeaeGenome			
WW-064	Triticum	aestivum		Saratovskya 29		BAD	Russia					Spring	Old cultivar				IPK/ Börner		
WW-065	Triticum	aestivum		Janetskis Probat		BAD	Germany					Spring	Old cultivar				IPK/ Börner		
WW-066	Triticum	aestivum		Synthetics R93		BAD						Facultative	Synthetics				IPK/ Börner		
WW-067	Triticum	aestivum		Sibilla		BAD	Italy						cultivar		 		CRA		
WW-068	Triticum	aestivum		Victo		BAD	France						cultivar	1994			CRA		
WW-069	Triticum	aestivum		Spada		BAD	France						cultivar	 			CRA		
WW-070	Triticum	aestivum		Agadir		BAD	France						cultivar	2002	(GA600 x Soissons) x Arche		CRA		
WW-071	Triticum	aestivum		Artico		BAD	France						cultivar	2000	multiple cross		CRA		
WW-072	Triticum	aestivum	var. aestivum 	Rusalka 	TRI 9671	BAD	Bulgaria					Winter		1970			IPK/Kilian		
WW-073	Triticum	aestivum	var. aestivum 	San Pastore Typ 2 	TRI 9409	BAD	Italy					Winter		1969			IPK/Kilian		
WW-074	Triticum	aestivum	var. aestivum 	Norin 16 	TRI 7453	BAD	Japan					Winter		1964			IPK/Kilian		
WW-075	Triticum	aestivum	var. aestivum 	Suwon Nr. 86 	TRI 7094	BAD	South Korea					Winter		1957			IPK/Kilian		
WW-076	Triticum	aestivum	var. aestivum 		TRI 8439	BAD	Democratic People's Republic of Korea (North Korea)					Winter		1968			IPK/Kilian		
WW-077	Triticum	aestivum	var. aestivum 	NS 732 	TRI 9464	BAD	Yugoslavia					Winter		1969			IPK/Kilian		
WW-078	Triticum	aestivum	var. ferrugineum 		TRI 2416	BAD	Albania					Winter		1947			IPK/Kilian		
WW-079	Triticum	aestivum	var. ferrugineum 	Norin 4 	TRI 7451	BAD	Japan					Winter		1964			IPK/Kilian		
WW-080	Triticum	aestivum	var. lutescens	Minhardi Min. 1505	TRI 0020	BAD	USA 					Winter		1966			IPK/Kilian		
WW-081	Triticum	aestivum	var. milturum		TRI 1414	BAD	China					Winter		1982			IPK/Kilian		
WW-082	Triticum	aestivum	var. milturum 	Crvena Zvezda 	TRI 9455	BAD	Yugoslavia					Winter		1969			IPK/Kilian		
WW-083	Triticum	aestivum	var. suberythrospermum 	Shirasay-Ibaragi 2 	TRI 7465	BAD	Japan					Winter		1964			IPK/Kilian		
WW-084	Triticum	aestivum	var. aestivum 	Bej-Szi 3 	TRI 8045	BAD	China					Winter		1966			IPK/Kilian		
WW-085	Triticum	aestivum	var. aestivum 	Egyptian 	TRI 4989	BAD	Egypt					Winter		1961			IPK/Kilian		
WW-086	Triticum	aestivum	var. aestivum 	Dawson Golden 	TRI 4728	BAD	United Kingdom					Winter		1957			IPK/Kilian		
WW-087	Triticum	aestivum	var. aestivum 	Karcagi 1042 	TRI 3707	BAD	Hungary					Winter		1955			IPK/Kilian		
WW-088	Triticum	aestivum	var. aestivum 	Mindenes 	TRI 3708	BAD	Hungary					Winter		1955			IPK/Kilian		
WW-089	Triticum	aestivum	var. aestivum 	Bánkúti 1201 	TRI 3711	BAD	Hungary					Winter		1955			IPK/Kilian		
WW-090	Triticum	aestivum	var. aestivum 	Odvos 116 	TRI 11128	BAD	Romania					Winter		1975			IPK/Kilian		
WW-091	Triticum	aestivum	var. aestivum 	Fulcaster 	TRI 4780	BAD	USA 					Winter		1957			IPK/Kilian		
WW-092	Triticum	aestivum	var. aestivum 	Saline 	TRI 7411	BAD	USA 					Winter		1964			IPK/Kilian		
WW-093	Triticum	aestivum	var. aestivum 	Red Hussar 	TRI 9	BAD	USA 					Winter		1945			IPK/Kilian		
WW-094	Triticum	aestivum	var. albidumcompactoides 	Sperlings Buhlendorfer 	TRI 5460	BAD	Germany					Winter		1957			IPK/Kilian		
WW-095	Triticum	aestivum	var. ferrugineum 	Li-Cho Nr. 3 	TRI 8098	BAD	China					Winter		1966			IPK/Kilian		
WW-096	Triticum	aestivum	var. ferrugineum 	Njemertsch Triumph Begrannter Roter  Verbesserter 	TRI 5053	BAD	Ukraine					Winter		1961			IPK/Kilian		
WW-097	Triticum	aestivum	var. lutescens 	Newsar 	TRI 9828	BAD	USA 					Winter		1971			IPK/Kilian		
WW-098	Triticum	aestivum	var. aestivum 	Riebesel St. 47-51 	TRI 8018	BAD	Germany					Winter		1966			IPK/Kilian		
WW-099	Triticum	aestivum	var. aureum 	Falco 	TRI 7416	BAD	Germany					Winter		1964			IPK/Kilian		
WW-100	Triticum	aestivum	var. lutescens 	Carstens VIII 	TRI 7745	BAD	Germany					Winter		1965			IPK/Kilian		
WW-101	Triticum	aestivum	var. lutescens 	Fema 	TRI 7746	BAD	Germany					Winter		1965			IPK/Kilian		
WW-102	Triticum	aestivum	var. lutescens 	Caprimus 	TRI 9470	BAD	Germany					Winter		1969			IPK/Kilian		
WW-103	Triticum	aestivum	var. lutescens 	Mado 	TRI 5248	BAD	The Netherlands					Winter		1961			IPK/Kilian		
WW-104	Triticum	aestivum	var. lutescens 		TRI 11693	BAD	Pakistan					Winter		1977			IPK/Kilian		
WW-105	Triticum	aestivum	var. lutescens 	Virtue 	TRI 12938	BAD						Winter		1980			IPK/Kilian		
WW-106	Triticum	aestivum	var. lutescenscompactoides 	Draegers Dickkopf 	TRI 257	BAD	Germany					Winter		1946			IPK/Kilian		
WW-107	Triticum	aestivum	var. lutescens	Landweizen aus Neuhausen	TRI_319	BAD	Germany					Winter					IPK/Kilian		
WW-108	Triticum	aestivum	var. lutescens	Smogger	TRI 1008	BAD	USA 					Winter					IPK/Kilian		
WW-109	Triticum	aestivum	var. subhostianuminflatum 		TRI 11658	BAD	Pakistan					Winter		1977			IPK/Kilian		
WW-110	Triticum	aestivum	var. wittmackianum 		TRI 4608	BAD	Sweden					Winter		1955			IPK/Kilian		
WW-111	Triticum	aestivum	var. aureum 		TRI 10327	BAD	Albania					Winter		1973			IPK/Kilian		
WW-112	Triticum	aestivum	var. aureum 		TRI 14906	BAD	Poland					Winter		1985			IPK/Kilian		
WW-113	Triticum	aestivum	var. aureum 	Jacob Cats 	TRI 9966	BAD	South Africa					Winter		1972			IPK/Kilian		
WW-114	Triticum	aestivum	var. hostianum 	Griechischer Weizen 	TRI 1764	BAD	Greece					Winter		1947			IPK/Kilian		
WW-115	Triticum	aestivum	var. lutescens 	Shireffs Dickkopf 	TRI 17984	BAD	Germany					Winter		1997			IPK/Kilian		
WW-116	Triticum	aestivum	var. lutescens 	Landweizen aus Heimtal 	TRI 322	BAD	Germany					Winter		1946			IPK/Kilian		
WW-117	Triticum	aestivum	var. lutescens 	Hercuter White 	TRI 4814	BAD	Germany					Winter		1957			IPK/Kilian		
WW-118	Triticum	aestivum	var. lutescens 	Wietfelds Flettmarer Land Heidefürst 	TRI 5123	BAD	Germany					Winter		1961			IPK/Kilian		
WW-119	Triticum	aestivum	var. lutescens 	Klimatinskaja 	TRI 9968	BAD	former Soviet Union					Winter		1972			IPK/Kilian		
WW-120	Triticum	aestivum	var. lutescens 	Landweizen aus Voehma II 	TRI 329	BAD	Sweden					Winter		1946			IPK/Kilian		
WW-121	Triticum	aestivum	var. milturum 	Landweizen aus Heimtal 	TRI 320	BAD	Germany					Winter		1946			IPK/Kilian		
WW-122	Triticum	aestivum	var. milturum 	Haidenburger Landweizen 	TRI 4800	BAD	Germany					Winter		1957			IPK/Kilian		
WW-123	Triticum	aestivum	var. milturum 	Kursas 	TRI 5189	BAD	Latvia					Winter		1960			IPK/Kilian		
WW-124	Triticum	aestivum	var. milturum 		TRI 98	BAD	Sweden					Winter		1946			IPK/Kilian		
WW-125	Triticum	aestivum	var. lutescens	Campeador	TRI 7560	BAD	Spain					Winter				GENDIV	IPK/Kilian		
WW-126	Triticum	aestivum	var. ferrugineum		TRI 1640	BAD	Albania					Winter				GENDIV	IPK/Kilian		
WW-127	Triticum	aestivum	var. aestivum		TRI 1763	BAD	Albania					Winter				GENDIV	IPK/Kilian		
WW-128	Triticum	aestivum	var. aestivum		TRI 0593	BAD	Greece					Winter				GENDIV	IPK/Kilian		
WW-129	Triticum	aestivum	var. erythroleucon		TRI 2309	BAD	Greece					Winter				GENDIV	IPK/Kilian		
WW-130	Triticum	aestivum	var. aestivum		TRI 10807	BAD	Greece					Winter				GENDIV	IPK/Kilian		
WW-131	Triticum	aestivum	var. milturum	Villa Glori	TRI 5400	BAD	Italy					Winter				GENDIV	IPK/Kilian		
WW-132	Triticum	aestivum	var. milturum	Novaro	TRI 7374	BAD	Italy					Winter				GENDIV	IPK/Kilian		
WW-133	Triticum	aestivum	var. alborubrum	Anna Migliori	TRI 7720	BAD	Italy					Winter				GENDIV	IPK/Kilian		
WW-134	Triticum	aestivum	var. lutescens	Madif 20	TRI 8476	BAD	Italy					Winter				GENDIV	IPK/Kilian		
WW-135	Triticum	aestivum	var. ferrugineum	Colorben 4	TRI 9375	BAD	Italy					Winter				GENDIV	IPK/Kilian		
WW-136	Triticum	aestivum	var. lutescens	Marzotto	TRI 9400	BAD	Italy					Winter				GENDIV	IPK/Kilian		
WW-137	Triticum	aestivum	var. milturum	San Prospero	TRI 9410	BAD	Italy					Winter				GENDIV	IPK/Kilian		
WW-138	Triticum	aestivum	var. aestivum		TRI 10852	BAD	Nepal					Winter				GENDIV	IPK/Kilian		
WW-139	Triticum	aestivum	var. heraticum		TRI 10862	BAD	Nepal					Winter				GENDIV	IPK/Kilian		
WW-140	Triticum	aestivum	var. subpseudohostianum		TRI 10886	BAD	Nepal					Winter				GENDIV	IPK/Kilian		
WW-141	Triticum	aestivum	var. suberythrospermum		TRI 10887	BAD	Nepal					Winter				GENDIV	IPK/Kilian		
WW-142	Triticum	aestivum	var. villosum		TRI 10959	BAD	Nepal					Winter				GENDIV	IPK/Kilian		
