Whealbi serial number	Taxonomy	Taxonomy	Taxonomy	Variety/Genotype	Acession number	Genome	Country of origin	Collection site	Altitude	Latitude	Longitude	Growth habit	Biological status	Year listed / recommended; acquisition year; released	Pedigree	Population	Seed source	Source genebank	Breeder
WW-209	Triticum	aestivum		H1001	AUS14442	BAD	Afghanistan					spring	Landrace				Beat Keller	AWCC	
WW-210	Triticum	aestivum			VIR16772	BAD	Azerbaijan					spring	Landrace				Beat Keller	VIR	
WW-211	Triticum	aestivum		Karmraat	VIR23608	BAD	Armenia						Landrace				Beat Keller	VIR	
WW-212	Triticum	aestivum			VIR23728	BAD	Turkmenia						Landrace				Beat Keller	VIR	
WW-213	Triticum	aestivum			VIR23922	BAD	Russia					Winter	Landrace				Beat Keller	VIR	
WW-214	Triticum	aestivum			VIR31594	BAD	Azerbaijan					Spring	Landrace				Beat Keller	VIR	
WW-215	Triticum	aestivum		Pashmak	VIR33366	BAD	Pakistan					Spring	Landrace				Beat Keller	VIR	
WW-216	Triticum	aestivum			VIR35030	BAD	Russia					Winter	Landrace				Beat Keller	VIR	
WW-217	Triticum	aestivum			VIR35539	BAD	Turkmenia						Landrace				Beat Keller	VIR	
WW-218	Triticum	aestivum			41606	BAD	Pakistan	Baluchistan	1550	N29 57	E66 43, 	spring	Landrace				Beat Keller	ICARDA	
WW-219	Triticum	aestivum			42255	BAD	Turkey	Van	2250	N 38 09	E44 00	spring	Landrace				Beat Keller	ICARDA	
WW-220	Triticum	aestivum			42416	BAD	Turkey	Erzurum	1700	N 40 18	E41 33	spring	Landrace				Beat Keller	ICARDA	
WW-221	Triticum	aestivum			42868	BAD	Turkey	Erzurum	1925	N 40 02 49	E 041 02		Landrace				Beat Keller	ICARDA	
WW-222	Triticum	aestivum			VIR46301	BAD	Azerbaijan					Winter	Landrace				Beat Keller	VIR	
WW-223	Triticum	aestivum			122348	BAD	Iran	Khorasan		N 36 16	E59 34	spring	Landrace				Beat Keller	ICARDA	
WW-224	Triticum	aestivum			122491	BAD	Iran	Khorasan		N 36 16	E59 34	spring	Landrace				Beat Keller	ICARDA	
WW-225	Triticum	aestivum			122619	BAD	Iran	Kerman		N 30 18	E57 05	spring	Landrace				Beat Keller	ICARDA	
WW-226	Triticum	aestivum			126331	BAD	Armenia	Vanadzor	1580	N 39 46 45	E45 23 26	spring	Landrace				Beat Keller	ICARDA	
WW-227	Triticum	aestivum	hadropyrum (Flaksb.)Tzvel.		TR 183	BAD	Spain	Mallorca					landrace			wheat wild relatives and neglected	Kilian		
WW-228	Triticum	aestivum	hadropyrum (Flaksb.)Tzvel.		PI 654265	BAD	Tajikistan	Khujand					landrace			wheat wild relatives and neglected	Kilian		
WW-240	Triticum	spelta L.	subsp. spelta		TR 177	BAD	Spain	Spain					landrace			wheat wild relatives and neglected	Kilian		
WW-270	Triticum	spelta L.			CGN08304	BAD	Iran	Tabriz Mountains, Shipli								wheat wild relatives and neglected	Kilian		
WW-271	Triticum	spelta L.	 subsp. spelta		PI 355626	BAD	Germany	Bavaria								wheat wild relatives and neglected	Kilian		
WW-275	Triticum	aestivum	var. ferrugineum		TRI 7818	BAD	Bulgaria									GENDIV	Kilian		
WW-276	Triticum	aestivum		ALTIGO	29843	BAD	France					Winter	Current variety	2006			Balfourier		
WW-277	Triticum	aestivum		AREZZO	32759	BAD	France					Winter	Current variety	2007			Balfourier		
WW-278	Triticum	aestivum		BAROK	32101	BAD	France					Winter	Current variety	2008			Balfourier		
WW-279	Triticum	aestivum		PREMIO	29855	BAD	France					Winter	Current variety	2006			Balfourier		
WW-280	Triticum	aestivum		11IWSWSN14	92	BAD	USA					Winter	breeding line			NAM INRA	Balfourier		
WW-281	Triticum	aestivum		3716-1	421	BAD	Bulgaria					Winter	breeding line			NAM INRA	Balfourier		
WW-282	Triticum	aestivum		CH62022	537	BAD	Switzerland					Winter	breeding line			NAM INRA	Balfourier		
WW-283	Triticum	aestivum		AFRICA MAYO	800	BAD	Kenia					Spring	cultivar	1960		NAM INRA	Balfourier		
WW-284	Triticum	aestivum		ANDES 56	912	BAD	Colombia					Spring	old cultivar	1956		NAM INRA	Balfourier		
WW-285	Triticum	aestivum		ARAWA	957	BAD	New Zealand					Spring	old cultivar	1955		NAM INRA	Balfourier		
WW-286	Triticum	aestivum		Arkas	1005	BAD	Germany					Spring	cultivar	1976		NAM INRA	Balfourier		
WW-287	Triticum	aestivum		ATUT II	1080	BAD	Austria					Winter	cultivar	1974		NAM INRA	Balfourier		
WW-288	Triticum	aestivum		BT2277-TUN	1643	BAD	Tunesia					Spring	breeding line			NAM INRA	Balfourier		
WW-289	Triticum	aestivum		BUCKBUCK'S'	1676	BAD	Mexico					Spring	breeding line	1980		NAM INRA	Balfourier		
WW-290	Triticum	aestivum		114/62	1747	BAD	Austria					Winter	breeding line			NAM INRA	Balfourier		
WW-291	Triticum	aestivum		CH73052	2025	BAD	Switzerland					Winter	breeding line			NAM INRA	Balfourier		
WW-292	Triticum	aestivum		DAERAAD	2411	BAD	South Africa					Spring	old cultivar	1951		NAM INRA	Balfourier		
WW-293	Triticum	aestivum		DI6402-34-2-4	2489	BAD	France					Winter	breeding line			NAM INRA	Balfourier		
WW-294	Triticum	aestivum		EMU'S'	2759	BAD	Mexico					Spring	breeding line	1979		NAM INRA	Balfourier		
WW-295	Triticum	aestivum		GLENLEA-CAN	3358	BAD	Canada					Spring	cultivar	1972		NAM INRA	Balfourier		
WW-296	Triticum	aestivum		HIVERNAL	3617	BAD	France					Winter	cultivar	1962		NAM INRA	Balfourier		
WW-297	Triticum	aestivum		K1898-9/L200-6	3991	BAD	Bulgaria					Winter	breeding line			NAM INRA	Balfourier		
WW-298	Triticum	aestivum		MINTURK	4838	BAD	USA					Winter	old cultivar	1919		NAM INRA	Balfourier		
WW-299	Triticum	aestivum		N46	5088	BAD	Israel					Spring	breeding line	1967		NAM INRA	Balfourier		
WW-300	Triticum	aestivum		NYU BAY	5399	BAD	Japan					Spring	cultivar	1985		NAM INRA	Balfourier		
WW-301	Triticum	aestivum		Pitic 62	5748	BAD	Mexico					Spring	cultivar	1962		NAM INRA	Balfourier		
WW-302	Triticum	aestivum		ZANDA	8058	BAD	Belgium					Winter	old cultivar	1939		NAM INRA	Balfourier		
WW-303	Triticum	aestivum		Coronation	8073	BAD	Canada					Winter	old cultivar	1938		NAM INRA	Balfourier		
WW-304	Triticum	aestivum		NAVARRO150	8165	BAD	Spain					Winter	cultivar			NAM INRA	Balfourier		
WW-305	Triticum	aestivum		CONCURRENT	13292	BAD	France					Winter	old cultivar	1905		NAM INRA	Balfourier		
WW-306	Triticum	aestivum		ORFIELD	13500	BAD	France					Winter	cultivar	1997		NAM INRA	Balfourier		
WW-307	Triticum	aestivum		Mirleben	20074	BAD	Ukraine					Winter	cultivar	1993		NAM INRA	Balfourier		
WW-308	Triticum	aestivum		Tau-bugda	24089	BAD	Russia					Winter	old cultivar	1955		NAM INRA	Balfourier		
WW-309	Triticum	aestivum		Yumai 34	32925	BAD	China					Winter	 cultivar			NAM INRA	Balfourier		
WW-310	Triticum	aestivum		CH01193	19	BAD	Switzerland					Winter	breeding line			INRA wheat Core Collection	Balfourier		
WW-311	Triticum	aestivum		2838-39	347	BAD	Bulgaria					Spring	breeding line			INRA wheat Core Collection	Balfourier		
WW-312	Triticum	aestivum		line06/01/2003	514	BAD	Egypt					Winter	breeding line			INRA wheat Core Collection	Balfourier		
WW-313	Triticum	aestivum		line60293	524	BAD	The Netherlands					Winter	breeding line			INRA wheat Core Collection	Balfourier		
WW-314	Triticum	aestivum		664-258-18	546	BAD	Bulgaria					Spring	breeding line			INRA wheat Core Collection	Balfourier		
WW-315	Triticum	aestivum		A4	748	BAD	Afghanistan					Spring	breeding line			INRA wheat Core Collection	Balfourier		
WW-316	Triticum	aestivum		ADMONTER	794	BAD	Austria					Winter	old cultivar	1953		INRA wheat Core Collection	Balfourier		
WW-317	Triticum	aestivum		Adular	797	BAD	Germany					Winter	cultivar	1986		INRA wheat Core Collection	Balfourier		
WW-318	Triticum	aestivum		AIFENG NO4	822	BAD	China					Winter	cultivar	1971		INRA wheat Core Collection	Balfourier		
WW-319	Triticum	aestivum		AMIFORT	901	BAD	France					Spring	cultivar	1991		INRA wheat Core Collection	Balfourier		
WW-320	Triticum	aestivum		APEX	933	BAD	United Kingdom					Facultative	cultivar	1972		INRA wheat Core Collection	Balfourier		
WW-321	Triticum	aestivum		ARCHE	964	BAD	France					Spring	cultivar	1989		INRA wheat Core Collection	Balfourier		
WW-322	Triticum	aestivum		ARGENT	983	BAD	United Kingdom					Winter	cultivar	1979		INRA wheat Core Collection	Balfourier		
WW-323	Triticum	aestivum		ARTOIS-DESPREZ	1044	BAD	France					Spring	old cultivar	1957		INRA wheat Core Collection	Balfourier		
WW-324	Triticum	aestivum		AUSTRO_BANKUT	1113	BAD	Austria					Spring	old cultivar	1919		INRA wheat Core Collection	Balfourier		
WW-325	Triticum	aestivum		BAHATANE 87 	1177	BAD	Algeria					Winter	old cultivar	1924		INRA wheat Core Collection	Balfourier		
WW-326	Triticum	aestivum		BAIONETTE I	1182	BAD	Italy					Winter	cultivar			INRA wheat Core Collection	Balfourier		
WW-327	Triticum	aestivum		Balkan	1192	BAD	Yugoslavia					Spring	cultivar	1979		INRA wheat Core Collection	Balfourier		
WW-328	Triticum	aestivum		BARBU DU FINISTERE	1232	BAD	France					Winter	landrace			INRA wheat Core Collection	Balfourier		
WW-329	Triticum	aestivum		BEL ET BON	1281	BAD	France					Winter	old cultivar			INRA wheat Core Collection	Balfourier		
WW-330	Triticum	aestivum		BELLIEI 590	1288	BAD	Hungary					Winter	old cultivar			INRA wheat Core Collection	Balfourier		
WW-331	Triticum	aestivum		BERZATACA	1332	BAD	Finland					Winter	cultivar			INRA wheat Core Collection	Balfourier		
WW-332	Triticum	aestivum		BIRGITTA	1357	BAD	Sweden					Winter	cultivar	1960		INRA wheat Core Collection	Balfourier		
WW-333	Triticum	aestivum		BLANC PRECOCE	1400	BAD	Switzerland					Winter	old cultivar	1930		INRA wheat Core Collection	Balfourier		
WW-334	Triticum	aestivum		BLONDYNKA	1529	BAD	Poland					Winter	old cultivar	1920		INRA wheat Core Collection	Balfourier		
WW-335	Triticum	aestivum		Blueboy	1531	BAD	USA					Spring	cultivar	1964		INRA wheat Core Collection	Balfourier		
WW-336	Triticum	aestivum		BT2281	1647	BAD	Tunesia					Spring	breeding line			INRA wheat Core Collection	Balfourier		
WW-337	Triticum	aestivum		BT2296	1655	BAD	Tunesia					Winter	breeding line	1972		INRA wheat Core Collection	Balfourier		
WW-338	Triticum	aestivum		CANDEAL DE AREVALO	1768	BAD	Spain					Winter	landrace			INRA wheat Core Collection	Balfourier		
WW-339	Triticum	aestivum		CENAD 512	1885	BAD	Romania					Winter	breeding line	1958		INRA wheat Core Collection	Balfourier		
WW-340	Triticum	aestivum		CEREALOR	1899	BAD	France					Spring	cultivar	1964		INRA wheat Core Collection	Balfourier		
WW-341	Triticum	aestivum		COPPADRA	2330	BAD	Turkey					Winter	cultivar			INRA wheat Core Collection	Balfourier		
WW-342	Triticum	aestivum		CORIN	2337	BAD	United Kingdom					Spring	cultivar	1976		INRA wheat Core Collection	Balfourier		
WW-343	Triticum	aestivum		COTIPORA	2353	BAD	Brazil					Spring	cultivar	1965		INRA wheat Core Collection	Balfourier		
WW-344	Triticum	aestivum		COURTOT	2358	BAD	France					Winter	cultivar	1974		INRA wheat Core Collection	Balfourier		
WW-345	Triticum	aestivum		D130-63	2399	BAD	Poland					Winter	breeding line			INRA wheat Core Collection	Balfourier		
WW-346	Triticum	aestivum		Danubia	2424	BAD	Czechia					Spring	cultivar	1984		INRA wheat Core Collection	Balfourier		
WW-347	Triticum	aestivum		DETENICKA CERVENA	2475	BAD	Czechia					Winter	old cultivar	1937		INRA wheat Core Collection	Balfourier		
WW-348	Triticum	aestivum		DIANA	2573	BAD	Poland					Winter	cultivar	1966		INRA wheat Core Collection	Balfourier		
WW-349	Triticum	aestivum		DIANA II	2574	BAD	Czechia					Winter	cultivar	1967		INRA wheat Core Collection	Balfourier		
WW-350	Triticum	aestivum		DNEPROVSKAIA	2606	BAD	Ukraine					Winter	breeding line			INRA wheat Core Collection	Balfourier		
WW-351	Triticum	aestivum		DRAGON	2644	BAD	France					Winter	cultivar	1967		INRA wheat Core Collection	Balfourier		
WW-352	Triticum	aestivum		DRAVA	2650	BAD	Croatia					Winter	cultivar	1980		INRA wheat Core Collection	Balfourier		
WW-353	Triticum	aestivum		EBRO  	2698	BAD	Spain					Spring	cultivar	1966		INRA wheat Core Collection	Balfourier		
WW-354	Triticum	aestivum		ESTANZUELA DORADO	2810	BAD	Uruguay					Winter	cultivar	1981		INRA wheat Core Collection	Balfourier		
WW-355	Triticum	aestivum		FERRUGINEUM	2991	BAD	Russia					Winter	old cultivar			INRA wheat Core Collection	Balfourier		
WW-356	Triticum	aestivum		FLAMURA 85	3050	BAD	Romania					Winter	cultivar	1989		INRA wheat Core Collection	Balfourier		
WW-357	Triticum	aestivum		FLINT	3070	BAD	USA					Spring	landrace	1830		INRA wheat Core Collection	Balfourier		
WW-358	Triticum	aestivum		FUKUHOKOMUGI	3176	BAD	Japan					Spring	cultivar	1979		INRA wheat Core Collection	Balfourier		
WW-359	Triticum	aestivum		G66257	3213	BAD	Greece					Spring	breeding line			INRA wheat Core Collection	Balfourier		
WW-360	Triticum	aestivum		G72300	3220	BAD	Greece					Spring	breeding line			INRA wheat Core Collection	Balfourier		
WW-361	Triticum	aestivum		GAMMENYA	3256	BAD	Australia					Winter	old cultivar	1958		INRA wheat Core Collection	Balfourier		
WW-362	Triticum	aestivum		GK SZOKE	3342	BAD	Hungary					Winter	cultivar	1985		INRA wheat Core Collection	Balfourier		
WW-363	Triticum	aestivum		GODOLLOI 15	3366	BAD	Hungary					Spring	old cultivar	1957		INRA wheat Core Collection	Balfourier		
WW-364	Triticum	aestivum		Granarolo	3402	BAD	Italy					Winter	cultivar	1973		INRA wheat Core Collection	Balfourier		
WW-365	Triticum	aestivum		GRANIT	3406	BAD	Russia					Spring	cultivar	1978		INRA wheat Core Collection	Balfourier		
WW-366	Triticum	aestivum		GULAR	3442	BAD	Australia					Spring	old cultivar	1927		INRA wheat Core Collection	Balfourier		
WW-367	Triticum	aestivum		H742A	3463	BAD	Israel					Spring	breeding line	1974		INRA wheat Core Collection	Balfourier		
WW-368	Triticum	aestivum		H93-70	3485	BAD	Spain					Spring	breeding line			INRA wheat Core Collection	Balfourier		
WW-369	Triticum	aestivum		HYBRIDE 56 VILMORIN	3696	BAD	France					Spring	old cultivar	1956		INRA wheat Core Collection	Balfourier		
WW-370	Triticum	aestivum		IAR W83-2	3752	BAD	Ethiopia					Winter	breeding line			INRA wheat Core Collection	Balfourier		
WW-371	Triticum	aestivum		IAS 1	3753	BAD	Brazil					Winter	old cultivar	1955		INRA wheat Core Collection	Balfourier		
WW-372	Triticum	aestivum		ICARDA079	3804	BAD	Syria					Winter	breeding line			INRA wheat Core Collection	Balfourier		
WW-373	Triticum	aestivum		JASZsAgI TF	3912	BAD	Hungary					Spring	cultivar	1973		INRA wheat Core Collection	Balfourier		
WW-374	Triticum	aestivum		JO3045	3942	BAD	Finland					Facultative	breeding line	1971		INRA wheat Core Collection	Balfourier		
WW-375	Triticum	aestivum		JUFY II	3970	BAD	Belgium					Spring	old cultivar	1954		INRA wheat Core Collection	Balfourier		
WW-376	Triticum	aestivum		KENYA 350	4067	BAD	Kenia					Spring	old cultivar	1951		INRA wheat Core Collection	Balfourier		
WW-377	Triticum	aestivum		KIRAC 66	4111	BAD	Turkey					Spring	cultivar	1970		INRA wheat Core Collection	Balfourier		
WW-378	Triticum	aestivum		KOLBEN 3	4157	BAD	Sweden					Winter	old cultivar	1929		INRA wheat Core Collection	Balfourier		
WW-379	Triticum	aestivum		KRAKA	4187	BAD	Denmark					Winter	cultivar	1981		INRA wheat Core Collection	Balfourier		
WW-380	Triticum	aestivum		Lammas	24210	BAD	United Kingdom					Winter	old cultivar	1850		INRA wheat Core Collection	Balfourier		
WW-381	Triticum	aestivum		LESZYNSKA WCZESNA	4300	BAD	Poland					Spring	landrace	1937		INRA wheat Core Collection	Balfourier		
WW-382	Triticum	aestivum		LONTOI	4343	BAD	Finland					Spring	cultivar	1971		INRA wheat Core Collection	Balfourier		
WW-383	Triticum	aestivum		M45/66	4477	BAD	Argentina					Spring	breeding line			INRA wheat Core Collection	Balfourier		
WW-384	Triticum	aestivum		M708//G25/N163	4482	BAD	Israel					Winter	breeding line			INRA wheat Core Collection	Balfourier		
WW-385	Triticum	aestivum		Malgorzatka Udycka	4525	BAD	Poland					Spring	old cultivar	1958		INRA wheat Core Collection	Balfourier		
WW-386	Triticum	aestivum		MARS DE SUEDE ROUGE BARBU	4645	BAD	Sweden					Winter	landrace	1922		INRA wheat Core Collection	Balfourier		
WW-387	Triticum	aestivum		MASTER	4664	BAD	United Kingdom					Winter	cultivar	1983		INRA wheat Core Collection	Balfourier		
WW-388	Triticum	aestivum		MATRADERECSKEITF	4670	BAD	Hungary					Winter	cultivar	1973		INRA wheat Core Collection	Balfourier		
WW-389	Triticum	aestivum		MEDRA/AURORA//HOHENTURM/DINA	4698	BAD	Poland					Spring	breeding line			INRA wheat Core Collection	Balfourier		
WW-390	Triticum	aestivum		MEIRA	4702	BAD	Spain					Spring	old cultivar			INRA wheat Core Collection	Balfourier		
WW-391	Triticum	aestivum		MELCHIOR	4706	BAD	The Netherlands					Winter	cultivar	1974		INRA wheat Core Collection	Balfourier		
WW-392	Triticum	aestivum		MICHE	4796	BAD	France					Spring	old cultivar	1954		INRA wheat Core Collection	Balfourier		
WW-393	Triticum	aestivum		MISKAAGANI	4874	BAD	Lebanon					Spring	cultivar			INRA wheat Core Collection	Balfourier		
WW-394	Triticum	aestivum		MOCHO DE ESPIGA BRANCA	4901	BAD	Portugal					Winter	landrace	1928		INRA wheat Core Collection	Balfourier		
WW-395	Triticum	aestivum		MV MA	4991	BAD	Hungary					Winter	breeding line	not registered		INRA wheat Core Collection	Balfourier		
WW-396	Triticum	aestivum		N67M2	5096	BAD	Israel					Winter	breeding line			INRA wheat Core Collection	Balfourier		
WW-397	Triticum	aestivum		NACHIPUNDO	5108	BAD	Nepal					Winter	old cultivar			INRA wheat Core Collection	Balfourier		
WW-398	Triticum	aestivum		NONG DA NO141	5219	BAD	China					Winter	cultivar	1982		INRA wheat Core Collection	Balfourier		
WW-399	Triticum	aestivum		NZ(81)P43	5401	BAD	New Zealand					Spring	breeding line	1981		INRA wheat Core Collection	Balfourier		
WW-400	Triticum	aestivum		ODESSA EXP.STA.17413	5415	BAD	Syria					Spring	breeding line			INRA wheat Core Collection	Balfourier		
WW-401	Triticum	aestivum		ODESSA EXPSTA20722	5421	BAD	Portugal					Spring	breeding line			INRA wheat Core Collection	Balfourier		
WW-402	Triticum	aestivum		ODESSA EXPSTA21821	5425	BAD	Portugal					Winter	breeding line			INRA wheat Core Collection	Balfourier		
WW-403	Triticum	aestivum		ODESSKAIA 16	5438	BAD	Ukraine					Winter	old cultivar	1953		INRA wheat Core Collection	Balfourier		
WW-404	Triticum	aestivum		OGOSTA	5448	BAD	Bulgaria					Spring	cultivar	1978		INRA wheat Core Collection	Balfourier		
WW-405	Triticum	aestivum		OPAL	5486	BAD	Germany					Winter	old cultivar	1959		INRA wheat Core Collection	Balfourier		
WW-406	Triticum	aestivum		Orlandi	5501	BAD	Italy					Winter	old cultivar	1947		INRA wheat Core Collection	Balfourier		
WW-407	Triticum	aestivum		OULIANOWSKA	5536	BAD	Russia					Winter	cultivar	1976		INRA wheat Core Collection	Balfourier		
WW-408	Triticum	aestivum		P. DE BROLLON	5552	BAD	Spain					Winter	landrace			INRA wheat Core Collection	Balfourier		
WW-409	Triticum	aestivum		P4523-80	5558	BAD	Austria					Spring	breeding line			INRA wheat Core Collection	Balfourier		
WW-410	Triticum	aestivum		PATO	5636	BAD	Argentina					Spring	cultivar	1968		INRA wheat Core Collection	Balfourier		
WW-411	Triticum	aestivum		PRECOCE	5816	BAD	Portugal					Spring	old cultivar	1955		INRA wheat Core Collection	Balfourier		
WW-412	Triticum	aestivum		PROMESSA	5897	BAD	The Netherlands					Winter	cultivar	1991		INRA wheat Core Collection	Balfourier		
WW-413	Triticum	aestivum		REDMAN	6047	BAD	Canada					Winter	old cultivar	1946		INRA wheat Core Collection	Balfourier		
WW-414	Triticum	aestivum		RITAK	6198	BAD	Nepal					Winter	old cultivar			INRA wheat Core Collection	Balfourier		
WW-415	Triticum	aestivum		ROUGE DE MARCHISSY	6318	BAD	Switzerland					Spring	landrace	1929		INRA wheat Core Collection	Balfourier		
WW-416	Triticum	aestivum		S975-A4-A1	6396	BAD	Zimbabwe					Winter	breeding line			INRA wheat Core Collection	Balfourier		
WW-417	Triticum	aestivum		SEU SEUN 27	6529	BAD	Korea					Winter	old cultivar	1936		INRA wheat Core Collection	Balfourier		
WW-418	Triticum	aestivum		SOANDRES LARACHA	6605	BAD	Spain					Winter	landrace			INRA wheat Core Collection	Balfourier		
WW-419	Triticum	aestivum		Strubes Dickkopf	6740	BAD	Germany					Spring	old cultivar	1880		INRA wheat Core Collection	Balfourier		
WW-420	Triticum	aestivum		TAFERSTAT	6843	BAD	Algeria					Spring	old cultivar			INRA wheat Core Collection	Balfourier		
WW-421	Triticum	aestivum		TAHTI	6846	BAD	Finland					Spring	old cultivar	1949		INRA wheat Core Collection	Balfourier		
WW-422	Triticum	aestivum		TREMESINO MEIRA	7040	BAD	Spain					Winter	landrace			INRA wheat Core Collection	Balfourier		
WW-423	Triticum	aestivum		TRIGO DE MONTE	7048	BAD	Spain					Winter	landrace			INRA wheat Core Collection	Balfourier		
WW-424	Triticum	aestivum		TURDA-81-77	7085	BAD	Romania					Winter	breeding line	1984		INRA wheat Core Collection	Balfourier		
WW-425	Triticum	aestivum		VAKKA	7276	BAD	Finland					Winter	old cultivar	1953		INRA wheat Core Collection	Balfourier		
WW-426	Triticum	aestivum		VALDOR	7279	BAD	France					Spring	old cultivar	1956		INRA wheat Core Collection	Balfourier		
WW-427	Triticum	aestivum		RONGOTEA	7848	BAD	New Zealand					Spring	cultivar	1979		INRA wheat Core Collection	Balfourier		
WW-428	Triticum	aestivum		KITCHENER	8079	BAD	Canada					Spring	old cultivar	1911		INRA wheat Core Collection	Balfourier		
WW-429	Triticum	aestivum		STANLEY	8097	BAD	Canada					Winter	old cultivar	1890		INRA wheat Core Collection	Balfourier		
WW-430	Triticum	aestivum		WS-13 CARDENO 34/45	8170	BAD	Spain					Winter	breeding line	1989		INRA wheat Core Collection	Balfourier		
WW-431	Triticum	aestivum		NEELKANT	8194	BAD	Syria					Winter	cultivar	1980		INRA wheat Core Collection	Balfourier		
WW-432	Triticum	aestivum		SANUNU	8197	BAD	Syria					Spring	cultivar			INRA wheat Core Collection	Balfourier		
WW-433	Triticum	aestivum		HOUMANA	8233	BAD	Niger					Winter	cultivar			INRA wheat Core Collection	Balfourier		
WW-434	Triticum	aestivum		CARIBO	8276	BAD	Germany					Spring	cultivar	1968		INRA wheat Core Collection	Balfourier		
WW-435	Triticum	aestivum		LIMPOPO	8513	BAD	Zimbabwe					Winter	cultivar	1981		INRA wheat Core Collection	Balfourier		
WW-436	Triticum	aestivum		Hopea	9048	BAD	Finland					Winter	old cultivar	1936		INRA wheat Core Collection	Balfourier		
WW-437	Triticum	aestivum		NON_PLUS_EXTRA	9077	BAD	Austria					Winter	old cultivar	1919		INRA wheat Core Collection	Balfourier		
WW-438	Triticum	aestivum		PRINCE LEOPOLD	9087	BAD	Belgium					Winter	old cultivar	1936		INRA wheat Core Collection	Balfourier		
WW-439	Triticum	aestivum		Solaris	13210	BAD	Czechia					Winter	cultivar	1976		INRA wheat Core Collection	Balfourier		
WW-440	Triticum	aestivum		FRUH-WEIZEN	13310	BAD	Germany					Spring	old cultivar			INRA wheat Core Collection	Balfourier		
WW-441	Triticum	aestivum		VOLT	13445	BAD	Hungary					Winter	cultivar	1994		INRA wheat Core Collection	Balfourier		
WW-442	Triticum	aestivum		ORNICAR	13471	BAD	France					Winter	cultivar	1998		INRA wheat Core Collection	Balfourier		
WW-443	Triticum	aestivum		TALDOR	13476	BAD	France					Spring	cultivar	1997		INRA wheat Core Collection	Balfourier		
WW-444	Triticum	aestivum		PAMUKALE	13799	BAD	Turkey					Spring	cultivar	1997		INRA wheat Core Collection	Balfourier		
WW-445	Triticum	aestivum		ZILVE	13800	BAD	Turkey					Spring	cultivar			INRA wheat Core Collection	Balfourier		
WW-446	Triticum	aestivum		AXONA	13978	BAD	The Netherlands					Winter	cultivar	1983		INRA wheat Core Collection	Balfourier		
WW-447	Triticum	aestivum		ROKYCANSKA_SAMETKA	14000	BAD	Czechia					Winter	landrace	1899		INRA wheat Core Collection	Balfourier		
WW-448	Triticum	aestivum		HANA	14011	BAD	Czechia					Winter	cultivar	1985		INRA wheat Core Collection	Balfourier		
WW-449	Triticum	aestivum		FANTASIYA-ODESSKAYA	20224	BAD	Ukraine					Winter	cultivar	1996		INRA wheat Core Collection	Balfourier		
WW-450	Triticum	aestivum		EQUINOX	20276	BAD	United Kingdom					Winter	cultivar	1995		INRA wheat Core Collection	Balfourier		
WW-451	Triticum	aestivum		HAMAC	20417	BAD	The Netherlands					Spring	cultivar	2001		INRA wheat Core Collection	Balfourier		
WW-452	Triticum	aestivum		Landrace	23891	BAD	Armenia					Spring	landrace	1925		INRA wheat Core Collection	Balfourier		
WW-453	Triticum	aestivum		Landrace	23896	BAD	Turkey					Spring	landrace	1926		INRA wheat Core Collection	Balfourier		
WW-454	Triticum	aestivum		Landrace	23902	BAD	Turkey					Spring	landrace	1926		INRA wheat Core Collection	Balfourier		
WW-455	Triticum	aestivum		Landrace	23909	BAD	Morocco					Winter	landrace	1926		INRA wheat Core Collection	Balfourier		
WW-456	Triticum	aestivum		Landrace	23923	BAD	Ethiopia					Spring	landrace	1927		INRA wheat Core Collection	Balfourier		
WW-457	Triticum	aestivum		Punjab Tipe 24	23933	BAD	India					Spring	landrace	1928		INRA wheat Core Collection	Balfourier		
WW-458	Triticum	aestivum		Punjab Tipe 15	23937	BAD	India					Spring	landrace	1928		INRA wheat Core Collection	Balfourier		
WW-459	Triticum	aestivum		Sarrubra	23950	BAD	Russia					Spring	landrace	1931		INRA wheat Core Collection	Balfourier		
WW-460	Triticum	aestivum		Landrace	23971	BAD	Tajikistan					Spring	landrace	1935		INRA wheat Core Collection	Balfourier		
WW-461	Triticum	aestivum		Landrace	23974	BAD	Tajikistan					Spring	landrace	1935		INRA wheat Core Collection	Balfourier		
WW-462	Triticum	aestivum		Landrace	23977	BAD	Georgia					Spring	landrace	1935		INRA wheat Core Collection	Balfourier		
WW-463	Triticum	aestivum		Soor Ghanum	23981	BAD	Pakistan					Spring	landrace	1936		INRA wheat Core Collection	Balfourier		
WW-464	Triticum	aestivum		Landrace	23995	BAD	Russia					Spring	landrace	1951		INRA wheat Core Collection	Balfourier		
WW-465	Triticum	aestivum		Dalnevostochnaya 10	24019	BAD	Russia					Winter	cultivar	1978		INRA wheat Core Collection	Balfourier		
WW-466	Triticum	aestivum		Stepnyachka	24054	BAD	Ukraine					Facultative	landrace	1928		INRA wheat Core Collection	Balfourier		
WW-467	Triticum	aestivum		Landrace	24056	BAD	Turkey					Winter	landrace	1928		INRA wheat Core Collection	Balfourier		
WW-468	Triticum	aestivum		Croisement 268	24066	BAD	Switzerland					Facultative	breeding line	1929		INRA wheat Core Collection	Balfourier		
WW-469	Triticum	aestivum		Spin121var12536	24075	BAD	Pakistan					Winter	old cultivar	1933		INRA wheat Core Collection	Balfourier		
